source_doi,dsm_oa_classification,dsm_splash_url,dsm_policy_preprint,dsm_policy_postprint,dsm_policy_published,dsm_romeo_id
10.1007/978-981-13-7086-1_17,OK,doi.org,can,can,cannot,74
10.1007/978-3-030-23182-8_4,OK,doi.org,can,can,cannot,74
10.1016/j.semcdb.2019.07.005,OK,doi.org,can,can,cannot,2823
10.3917/med.186.0035,UNK,doi.org,unknown,unknown,unknown,journal
10.1016/j.coemr.2019.06.004,OK,doi.org,can,can,cannot,30
10.1038/s41598-019-46241-5,OA,doi.org,can,can,can,3287
10.1029/2019GL082677,OK,doi.org,can,can,restricted,6
10.1038/s41550-019-0832-x,OK,doi.org,can,restricted,cannot,3286
10.1002/jcp.29032,OK,doi.org,can,restricted,cannot,2050
10.1039/c9cc04489b,OA,"doi.org,orcid.org",can,restricted,cannot,63.0
10.1080/00150193.2019.1574665,OK,doi.org,can,can,cannot,1141.0
10.1080/00150193.2019.1574652,OK,doi.org,can,can,cannot,1141.0
10.1016/j.jbspin.2019.06.009,OK,doi.org,can,can,cannot,265.0
10.1016/j.rhum.2019.05.003,OK,doi.org,can,can,cannot,2823.0
10.3390/toxins11060367,OA,doi.org,can,can,can,487.0
10.1016/j.automatica.2019.07.004,OK,doi.org,can,can,cannot,30.0
10.1063/1.5112636,OK,doi.org,can,can,restricted,7
10.1016/j.solener.2019.07.004,OK,doi.org,can,can,cannot,30
10.1016/j.bj.2019.05.007,OA,doi.org,unknown,unknown,unknown,DOAJ
10.1017/eso.2018.88,OK,doi.org,can,can,cannot,1111
10.3390/ijms20133266,OA,doi.org,can,can,can,487
10.1038/s41586-019-1359-0,OK,doi.org,can,restricted,cannot,3286
10.1038/s41598-019-46067-1,OA,doi.org,can,can,can,3287
10.1103/PhysRevFluids.4.064804,OK,doi.org,can,can,can,10
10.1177/1045389X19862358,OK,doi.org,can,can,cannot,65.0
10.1155/2019/4578501,OA,doi.org,can,can,can,100.0
10.1007/978-3-030-24289-3_46,OK,doi.org,can,can,cannot,74.0
10.1214/19-EJS1565,OA,doi.org,can,can,can,1547.0
10.1145/3309697.3331480,OK,doi.org,can,can,cannot,21.0
10.3389/fimmu.2019.01408,OA,doi.org,can,can,can,600.0
10.1051/jbio/2019020,OK,doi.org,can,can,can,137.0
10.1093/cvr/cvz127,OK,doi.org,can,can,cannot,1475.0
10.1007/s12346-018-0290-3,OK,doi.org,can,can,cannot,74.0
10.1038/s41467-019-11030-1,OA,doi.org,can,can,can,3287.0
10.1088/1751-8121/ab2607,OK,doi.org,can,can,cannot,2940.0
10.1051/0004-6361/201935772,OK,doi.org,can,can,can,1326.0
10.1109/TMI.2018.2820742,OK,doi.org,can,can,cannot,38
10.1080/00224545.2018.1441795,OK,doi.org,can,can,cannot,1139
10.3847/1538-4357/aaafd3,OK,"arxiv.org,doi.org",can,can,can,129
10.1371/journal.pcbi.1005992,OA,"doi.org,orcid.org",can,can,can,112
10.1016/j.ifacol.2017.08.2204,OK,"hal.inria.fr,doi.org",can,can,cannot,30
10.1785/0120170210,OK,doi.org,can,restricted,cannot,466
10.1007/s00134-018-5086-z,OK,doi.org,can,can,cannot,3299
10.1007/s10126-017-9791-3,OK,doi.org,can,can,cannot,3298
10.1103/PhysRevLett.120.141101,OK,"arxiv.org,doi.org",can,can,can,10
10.1016/j.crvi.2018.03.007,OK,doi.org,can,can,cannot,2823
10.3389/fimmu.2019.01688,OA,doi.org,can,can,can,600.0
10.1109/CCGRID.2019.00047,OK,doi.org,can,can,cannot,38.0
10.1088/2053-1591/ab201b,OK,doi.org,can,can,cannot,1471.0
10.1007/978-3-030-22996-2_12,OK,doi.org,can,can,cannot,74.0
10.1093/mnras/stz1647,OK,doi.org,can,can,can,1530.0
10.1051/m2an/2019014,OK,doi.org,can,can,can,137.0
10.1051/0004-6361/201834970,OK,doi.org,can,can,can,1326.0
10.1109/LPT.2019.2924652,OK,doi.org,can,can,cannot,38.0
10.1109/IGCC.2018.8752131,OK,doi.org,can,can,cannot,38.0
10.3389/fcell.2018.00178,OA,doi.org,can,can,can,600
10.1002/oa.2798,OK,doi.org,can,restricted,cannot,2050
10.1038/s41598-019-46559-0,OA,doi.org,can,can,can,3287
10.1051/0004-6361/201834229,OK,doi.org,can,can,can,1326
10.1134/S0016266319020102,OK,doi.org,can,can,cannot,74
10.1108/JKM-06-2018-0353,OK,doi.org,can,can,cannot,31
10.1007/s00334-019-00739-0,OK,doi.org,can,can,cannot,74
10.1016/j.neuropharm.2019.107715,OK,doi.org,can,can,cannot,30
10.1126/scitranslmed.aav5467,OK,doi.org,can,can,cannot,3
10.1016/j.comtox.2019.100098,OK,doi.org,can,can,cannot,30
10.1016/j.tecto.2019.06.021,OK,doi.org,can,can,cannot,30.0
10.1016/j.stem.2019.04.012,OK,doi.org,can,restricted,cannot,2438.0
10.1111/ecoj.12635,OK,"www.csef.it,www.ofce.sciences-po.fr,doi.org,dukespace.lib.duke.edu,spire.sciencespo.fr",can,can,cannot,1483.0
10.1007/s10596-019-9816-2,OK,"doi.org,orcid.org",can,can,cannot,3298.0
10.1111/jir.12674,OK,doi.org,can,restricted,cannot,2050.0
10.3389/fphys.2018.01627,OA,doi.org,can,can,can,600.0
10.1371/journal.pone.0219666,OA,doi.org,can,can,can,112.0
10.1039/c9sm00724e,OK,doi.org,can,restricted,cannot,63.0
10.1515/ract-2019-3120,OK,doi.org,can,restricted,restricted,927.0
10.1126/science.aav1002,OK,doi.org,can,can,cannot,3.0
10.1364/OE.27.021794,OA,doi.org,can,can,can,2305.0
10.1103/PhysRevA.100.013624,OK,doi.org,can,can,can,10.0
10.1007/s13555-019-00315-4,OA,doi.org,can,can,can,3297.0
10.1007/978-3-030-22015-0_42,OK,doi.org,can,can,cannot,74.0
10.1029/2019JB017512,OK,doi.org,can,can,restricted,6.0
10.1021/acs.langmuir.9b00882,UNK,doi.org,restricted,restricted,cannot,4.0
10.1016/j.puhe.2019.06.011,OK,"doi.org,orcid.org",can,can,cannot,2823.0
10.1016/j.neucli.2019.07.012,OK,doi.org,can,can,cannot,30
10.1002/cbdv.201900280,UNK,doi.org,cannot,restricted,cannot,79
10.1016/j.tecto.2019.228165,OK,doi.org,can,can,cannot,30
10.1016/j.eurpolymj.2019.07.026,OK,doi.org,can,can,cannot,30
10.1016/j.ab.2019.113343,OK,doi.org,can,can,cannot,265
10.1016/j.clinbiomech.2019.07.022,OK,doi.org,can,can,cannot,2823
10.1016/j.jbiomech.2019.07.020,OK,doi.org,can,can,cannot,2823
10.1111/1744-7917.12705,OK,doi.org,can,restricted,cannot,2050
10.1007/s42235-019-0058-8,OK,doi.org,can,can,cannot,3298
10.1007/s00208-019-01879-4,OK,doi.org,can,can,cannot,3298
10.15252/emmm.201910291,OA,doi.org,can,can,can,1032
10.1016/j.quascirev.2019.07.013,OK,doi.org,can,can,cannot,30
10.3917/inno.059.0151,OK,doi.org,can,can,restricted,1124
10.1021/acsanm.8b01558,UNK,"zenodo.org,doi.org,orcid.org",restricted,restricted,cannot,4
10.1002/lpor.201800226,UNK,doi.org,cannot,restricted,cannot,79
10.24187/ecostat.2018.503d.1961,OK,doi.org,cannot,can,unknown,512
10.1038/s41556-019-0362-x,OK,doi.org,can,restricted,cannot,3286
10.1063/1.5114156,OK,doi.org,can,can,restricted,7
10.1002/macp.201900241,OK,doi.org,can,restricted,cannot,2050
10.1103/PhysRevLett.123.043902,OK,doi.org,can,can,can,10
10.1063/1.5114155,OK,doi.org,can,can,restricted,7.0
10.1371/journal.pone.0220515,OA,doi.org,can,can,can,112.0
10.3847/2041-8213/ab1b42,OK,"doi.org,orcid.org",can,can,can,129.0
10.1016/j.humov.2019.102507,OK,doi.org,can,can,cannot,30.0
10.1007/s10479-019-03351-7,OK,"doi.org,halshs.archives-ouvertes.fr,www.researchgate.net",can,can,cannot,3298.0
10.1002/chem.201902015,OK,"doi.org,orcid.org",can,restricted,cannot,2050.0
10.4000/cybergeo.31909,OK,doi.org,can,can,can,645.0
10.1103/PhysRevE.100.012216,OK,"doi.org,orcid.org",can,can,can,10.0
10.1051/0004-6361/201834391,OK,"doi.org,orcid.org",can,can,can,1326.0
10.1111/bjd.18017,OK,"doi.org,orcid.org",can,restricted,cannot,2050
10.1051/0004-6361/201936075,OK,doi.org,can,can,can,1326
10.1007/s10901-019-09703-w,OK,doi.org,can,can,cannot,3298
10.1093/mnras/stz1632,OK,doi.org,can,can,can,1530
10.1016/j.cell.2019.07.029,OA,doi.org,can,restricted,cannot,2438
10.3390/antibiotics8020077,OA,doi.org,can,can,can,487
10.1038/s41396-019-0482-0,OA,"doi.org,orcid.org",can,restricted,cannot,3270
10.1051/0004-6361/201834266,OK,doi.org,can,can,can,1326
10.1051/0004-6361/201834573,OK,doi.org,can,can,can,1326
10.1002/cphc.201900683,OK,doi.org,can,restricted,cannot,2050
10.1090/tran/7476,OK,"doi.org,www.researchgate.net,hal.archives-ouvertes.fr",can,can,cannot,83
10.2519/jospt.2019.8801,NOK,doi.org,cannot,cannot,cannot,2789
10.3390/jcm8030414,OA,doi.org,can,can,can,487
10.37236/6521,OA,"arxiv.org,doi.org",can,can,can,1739
10.1038/s41419-019-1779-7,OK,doi.org,can,can,can,3292
10.1103/PhysRevLett.123.055101,OK,"doi.org,orcid.org",can,can,can,10
10.1364/OE.27.022074,OA,doi.org,can,can,can,2305
10.1007/s10592-019-01210-3,OK,doi.org,can,can,cannot,3298
10.1038/s41550-019-0829-5,OK,doi.org,can,restricted,cannot,3286
10.1007/s00205-019-01442-0,OK,doi.org,can,can,cannot,3298
10.1111/eea.12807,OK,doi.org,can,restricted,cannot,2050.0
10.1016/j.tcs.2019.07.014,OK,doi.org,can,can,cannot,30.0
10.1177/1708538119864740,OK,doi.org,can,can,cannot,65.0
10.1109/FG.2019.8756545,OK,doi.org,can,can,cannot,38.0
10.1109/FG.2019.8756622,OK,doi.org,can,can,cannot,38.0
10.1080/00268976.2019.1650209,OK,doi.org,can,can,cannot,1141.0
10.1111/geb.12935,OK,doi.org,can,restricted,cannot,2050.0
10.7150/thno.34681,OA,"doi.org,orcid.org",can,can,can,279.0
10.1103/PhysRevLett.123.068102,OK,doi.org,can,can,can,10.0
10.1016/j.radonc.2018.03.024,OK,doi.org,can,can,cannot,30
10.1007/s11207-018-1285-6,OK,"arxiv.org,doi.org",can,can,cannot,74
10.1109/MAP.2018.2796032,OK,doi.org,can,can,cannot,38
10.1016/j.dam.2018.03.035,OK,"arxiv.org,doi.org,hal.archives-ouvertes.fr",can,can,cannot,30
10.1109/ICM.2017.8268881,OK,doi.org,can,can,cannot,38
10.1097/SHK.0000000000001014,OK,doi.org,can,restricted,cannot,48
10.7150/thno.23002,OA,"europepmc.org,doi.org,prodinra.inra.fr,orcid.org",can,can,can,279
10.1108/IMEFM-06-2017-0151,OK,doi.org,can,can,cannot,31
10.3390/cancers10040088,OA,doi.org,can,can,can,487
10.3390/cancers10040108,OA,doi.org,can,can,can,487
10.1016/j.celrep.2019.07.062,OA,doi.org,can,can,can,1468
10.1016/j.jafrearsci.2019.103577,OK,doi.org,can,can,cannot,30
10.1364/OL.44.004071,OK,doi.org,can,can,cannot,108
10.1088/1742-6596/1269/1/012001,OA,doi.org,can,can,can,1809
10.1002/smr.2208,OK,"doi.org,hal.archives-ouvertes.fr",can,restricted,cannot,2050
10.1021/acs.accounts.9b00134,OA,doi.org,restricted,restricted,cannot,4
10.1038/s41598-019-47950-7,OA,doi.org,can,can,can,3287
10.1016/j.brs.2019.06.027,OK,doi.org,can,can,cannot,2823
10.1016/j.neuroscience.2019.07.041,OK,doi.org,can,can,cannot,2823
10.1029/2019JE005959,OK,doi.org,can,can,restricted,6
10.1016/j.bbr.2019.112082,OK,doi.org,can,can,cannot,30.0
10.1111/tra.12678,OK,doi.org,can,restricted,cannot,2050.0
10.1024/0300-9831/a000532,OK,doi.org,can,can,cannot,165.0
10.3390/app9153107,OA,doi.org,can,can,can,487.0
10.1039/c9md00195f,OK,doi.org,can,restricted,cannot,63.0
10.1111/tra.12672,OK,doi.org,can,restricted,cannot,2050.0
10.1002/masy.201800246,UNK,doi.org,cannot,restricted,cannot,79.0
10.3390/atmos10080443,OA,doi.org,can,can,can,487.0
10.1364/PRJ.7.000A36,OK,doi.org,can,can,cannot,108
10.1029/2018JB016670,OK,doi.org,can,can,restricted,6
10.1016/j.ibmb.2019.103206,OK,doi.org,can,can,cannot,2823
10.1038/s41388-019-0935-y,OK,doi.org,can,restricted,cannot,3270
10.1021/acsabm.9b00408,UNK,"doi.org,orcid.org",restricted,restricted,cannot,4
10.1130/GES02069.1,OA,doi.org,unclear,can,can,3221
10.1021/acsomega.9b00969,OA,doi.org,restricted,can,can,2875
10.1038/s41550-019-0857-1,OK,"doi.org,orcid.org",can,restricted,cannot,3286
10.1029/2019JB017454,OK,doi.org,can,can,restricted,6
10.1088/1741-4326/ab2276,OA,"doi.org,orcid.org",can,can,cannot,1471
10.1186/s12889-019-7317-9,OA,doi.org,can,can,can,22.0
10.1007/s10546-019-00486-9,OK,doi.org,can,can,cannot,3298.0
10.1016/j.psychsport.2019.101569,OK,doi.org,can,can,cannot,30.0
10.1088/1367-2630/ab2fd9,OK,"doi.org,orcid.org",can,can,can,1275.0
10.1016/j.urolonc.2019.07.017,OK,doi.org,can,can,cannot,2823.0
10.1080/17461391.2019.1655099,OK,doi.org,can,can,cannot,1141.0
10.1029/2019JB017324,OK,doi.org,can,can,restricted,6.0
10.1080/19336934.2019.1653733,OK,doi.org,can,can,cannot,1141.0
10.1109/CBMS.2019.00099,OK,doi.org,can,can,cannot,38.0
10.1038/s41420-019-0153-y,OK,doi.org,can,can,can,3292.0
10.1785/0220180322,OK,doi.org,can,restricted,cannot,466.0
10.1016/j.quascirev.2019.105886,OK,doi.org,can,can,cannot,30.0
10.1038/s41467-019-11276-9,OA,"doi.org,orcid.org",can,can,can,3287.0
10.1038/s41598-019-48518-1,OA,doi.org,can,can,can,3287.0
10.7554/eLife.47376,OA,"doi.org,orcid.org",can,can,can,1501.0
10.1158/0008-5472.CAN-18-3855,OK,doi.org,can,restricted,cannot,204.0
10.1016/j.econmod.2019.08.004,OK,doi.org,can,can,cannot,30.0
10.1093/mnras/stz356,OK,doi.org,can,can,can,1530.0
10.1364/OE.27.024154,OA,doi.org,can,can,can,2305.0
10.1016/j.im.2019.103196,OK,doi.org,can,can,cannot,30.0
10.1093/eurpub/cky192,OK,doi.org,can,restricted,cannot,1119.0
10.1007/s10269-012-2175-4,OA,doi.org,can,can,cannot,74.0
10.23919/TMA.2019.8784472,OK,doi.org,can,can,cannot,38.0
10.1515/ract-2019-3119,OK,doi.org,can,restricted,restricted,927.0
10.1093/mnras/stz1243,OK,doi.org,can,can,can,1530.0
10.1098/rsif.2019.0367,OK,doi.org,can,can,cannot,62.0
10.1093/mnras/stz1299,OK,"doi.org,orcid.org",can,can,can,1530.0
10.1122/1.5097658,OK,doi.org,can,can,restricted,7.0
10.1051/0004-6361/201834997,OK,doi.org,can,can,can,1326.0
10.1051/0004-6361/201834281,OK,"doi.org,orcid.org",can,can,can,1326.0
10.3390/cancers11071039,OA,"doi.org,orcid.org",can,can,can,487.0
10.1051/0004-6361/201935561,OK,"doi.org,orcid.org",can,can,can,1326.0
10.1007/s12307-019-00225-1,OK,doi.org,can,can,cannot,3298.0
10.1126/sciadv.aav3971,OA,doi.org,can,cannot,can,2297.0
10.1007/s00384-019-03367-2,OK,doi.org,can,can,cannot,74.0
10.1109/PRIME.2019.8787823,OK,doi.org,can,can,cannot,38.0
10.1109/PRIME.2019.8787742,OK,doi.org,can,can,cannot,38.0
10.1111/pbi.13233,OA,doi.org,can,can,can,1032.0
10.1002/jez.b.22897,OK,"doi.org,orcid.org",can,restricted,cannot,2050.0
10.1128/JB.00191-19,OK,doi.org,can,restricted,cannot,16.0
10.1161/HYPERTENSIONAHA.119.13094,OK,doi.org,can,can,can,2899.0
10.1021/acs.nanolett.9b00914,UNK,doi.org,restricted,restricted,cannot,4.0
10.1038/s41598-019-48199-w,OA,doi.org,can,can,can,3287.0
10.1111/joim.12959,OK,doi.org,can,restricted,cannot,2050.0
10.1364/JOSAB.36.002030,OK,doi.org,can,can,cannot,108
10.1016/j.icarus.2019.113417,OK,doi.org,can,can,cannot,30
10.1371/journal.pone.0221171,OA,doi.org,can,can,can,112
10.1126/science.aaw8627,OK,doi.org,can,can,cannot,3
10.1123/ijspp.2018-0505,OK,doi.org,unclear,can,cannot,300
10.1016/j.emj.2019.08.002,OK,doi.org,can,can,cannot,2943
10.1111/jcmm.14516,OA,doi.org,can,can,can,1032
10.1183/13993003.01229-2019,OK,doi.org,can,restricted,cannot,1455
10.1029/2019GL083856,OK,doi.org,can,can,restricted,6
10.1109/AIKE.2019.00056,OK,doi.org,can,can,cannot,38
10.1109/ICRA.2019.8794006,OK,doi.org,can,can,cannot,38
10.1016/j.stem.2019.05.013,OK,"doi.org,orcid.org",can,restricted,cannot,2438
10.1002/zamm.201800318,OK,doi.org,can,restricted,cannot,2050
10.1364/OE.27.025603,OA,doi.org,can,can,can,2305
10.23919/ECC.2019.8795880,OK,doi.org,can,can,cannot,38
10.1029/2019GL083490,OK,doi.org,can,can,restricted,6
10.1016/j.jmateco.2019.08.002,OK,doi.org,can,can,cannot,30
10.1016/j.jedc.2019.103734,OK,doi.org,can,can,cannot,2943
10.2340/00015555-3152,OK,doi.org,can,can,can,723
10.1111/aec.12811,OK,doi.org,can,restricted,cannot,2199
10.1007/978-3-319-77404-6_15,OK,"hal.inria.fr,doi.org",can,can,cannot,74.0
10.4018/IJESMA.2017010103,OK,doi.org,cannot,cannot,can,455.0
10.1016/j.oraloncology.2018.04.008,OK,doi.org,can,can,cannot,2823.0
10.1016/j.neurol.2018.03.008,OK,doi.org,can,can,cannot,2823.0
10.1515/9783110545623-007,OK,doi.org,can,restricted,restricted,414.0
10.1515/9783110545623-017,OK,doi.org,can,restricted,restricted,414.0
10.1109/TSE.2018.2826537,OK,doi.org,can,can,cannot,38.0
10.1302/0301-620X.100B4.BJJ-2017-0495.R2,OK,doi.org,can,can,cannot,367.0
10.1002/ejp.1221,OK,doi.org,can,restricted,cannot,2050.0
10.1126/sciadv.aaw4307,OA,"doi.org,orcid.org",can,cannot,can,2297
10.1038/s41467-019-11780-y,OA,doi.org,can,can,can,3287
10.1039/c9cc04915k,OK,doi.org,can,restricted,cannot,63
10.1007/978-3-030-29196-9_10,OK,doi.org,can,can,cannot,2765
10.1007/978-3-030-29196-9_9,OK,doi.org,can,can,cannot,2765
10.1016/j.jagp.2019.07.014,OK,doi.org,can,can,cannot,2823
10.1123/jsep.2018-0213,OK,doi.org,unclear,can,cannot,300
10.7554/eLife.49158,OA,doi.org,can,can,can,1501
10.1002/cnma.201900396,OK,doi.org,can,restricted,cannot,2050
10.1073/pnas.1901169116,OA,doi.org,can,restricted,restricted,94
10.1177/2399808319832612,OK,doi.org,can,can,cannot,65.0
10.1002/dvg.23331,OK,doi.org,can,restricted,cannot,2050.0
10.1007/978-1-4939-9769-5_10,OK,doi.org,can,can,cannot,319.0
10.1007/s12017-019-08563-5,OK,doi.org,can,can,cannot,319.0
10.1002/dta.2689,OK,doi.org,can,restricted,cannot,2050.0
10.1051/0004-6361/201935889,OK,"doi.org,orcid.org",can,can,can,1326.0
10.1097/RLU.0000000000002707,OK,doi.org,can,restricted,cannot,48.0
10.1103/PhysRevLett.123.083401,OK,doi.org,can,can,can,10.0
10.4310/jdg/1557281008,OK,"arxiv.org,doi.org,hal.archives-ouvertes.fr",can,can,unknown,101.0
10.1016/j.ccell.2019.07.008,OK,"doi.org,orcid.org",can,restricted,cannot,2438.0
10.1137/18M1222454,OK,doi.org,can,can,can,71.0
10.3390/e21090823,OA,doi.org,can,can,can,487.0
10.1016/j.bioorg.2019.103243,OK,doi.org,can,can,cannot,30.0
10.3847/1538-4357/ab275b,OK,doi.org,can,can,can,129.0
10.1080/21681392.2019.1651662,OK,doi.org,can,can,cannot,1140.0
10.1080/13506285.2019.1661319,OK,doi.org,can,can,cannot,193.0
10.1080/00268976.2019.1662507,OK,doi.org,can,can,cannot,1141.0
10.1038/s41598-019-49392-7,OA,doi.org,can,can,can,3287.0
10.1103/PhysRevA.100.021401,OK,doi.org,can,can,can,10.0
10.1016/B978-0-12-809633-8.90726-X,OK,doi.org,can,can,cannot,30.0
10.1152/physrev.00028.2018,OK,"doi.org,orcid.org",can,restricted,cannot,11.0
10.1038/s41598-019-49553-8,OA,doi.org,can,can,can,3287.0
10.1007/s00415-019-09494-8,OK,"doi.org,orcid.org",can,can,cannot,74.0
10.3389/fimmu.2019.02001,OA,doi.org,can,can,can,600.0
10.1109/ICSE.2019.00092,OK,doi.org,can,can,cannot,38.0
10.1109/FormaliSE.2019.00015,OK,doi.org,can,can,cannot,38.0
10.1093/jxb/erz352,OK,doi.org,can,can,cannot,1474.0
10.1093/jxb/erz159,OK,doi.org,can,can,cannot,1474
10.1016/j.encep.2019.08.001,OK,doi.org,can,can,cannot,265
10.1214/19-EJP298,OA,doi.org,can,can,can,1547
10.1088/1475-7516/2019/08/015,OK,doi.org,can,can,cannot,2940
10.3389/fphys.2019.01026,OA,doi.org,can,can,can,600
10.1038/s41467-019-12119-3,OA,doi.org,can,can,can,3287
10.1161/CIRCRESAHA.119.314793,OK,doi.org,can,restricted,cannot,209
10.1016/j.jcrysgro.2019.125235,OK,doi.org,can,can,cannot,30
